Ad_ID,Company_Campaign_ID,FB_campaign_ID,Age,Gender,interest,Impressions,Clicks,Spent,Ctr,Cpc,Conversion_Rate,Cpa,Gender_Encoded
734290,936,108668,32,M,29,5374,1,1.039999962,0.0001860811313732,1.039999962,4.0,0.2599999905,0
951677,936,123706,37,F,27,2563,1,1.480000019,0.000390167772142,1.480000019,1.0,1.480000019,1
734999,936,108786,37,F,27,20277,6,8.050000072,0.0002959017606154,1.341666678666667,0.1666666666666666,8.050000072,1
1121593,1178,144622,47,M,10,1177535,221,365.6600009,0.0001876801963423,1.6545701398190045,0.0678733031674208,24.37733339333333,0
778266,936,115822,42,F,27,74542,19,34.1500001,0.0002548898607496,1.7973684263157894,0.0526315789473684,34.1500001,1
1121749,1178,144648,32,F,15,333345,52,77.59000027,0.000155994540191,1.4921153898076924,0.0961538461538461,15.518000054000002,1
777410,936,115679,47,M,26,3490,1,1.340000033,0.0002865329512893,1.340000033,1.0,1.340000033,0
778964,936,115938,37,F,27,112460,25,41.29000068,0.0002223012626711,1.6516000272,0.04,41.29000068,1
1121901,1178,144674,37,F,16,1020561,172,263.8100007,0.0001685347568641,1.5337790738372092,0.0406976744186046,37.68714295714285,1
950773,936,123556,37,M,28,471,0,0.0,0.0,0.0,0.0,0.0,0
747903,936,110951,32,F,63,1491,0,0.0,0.0,0.0,0.0,0.0,1
1121193,1178,144552,32,M,28,57781,5,7.800000072,8.653363562416712e-05,1.5600000144,0.4,3.900000036,0
1121425,1178,144594,37,M,2,85970,14,24.78000021,0.0001628475049435,1.770000015,0.0714285714285714,24.78000021,0
735290,936,108834,47,F,27,12215,4,6.26000011,0.000327466230045,1.5650000275,0.25,6.26000011,1
1121956,1178,144683,37,F,26,227473,52,71.58000052,0.0002285985589498,1.3765384715384614,0.0192307692307692,71.58000052,1
1121484,1178,144604,42,M,22,34453,5,7.710000038,0.0001451252430847,1.5420000076,0.2,7.710000038,0
1121164,1178,144545,32,M,25,570699,80,138.7699997,0.0001401789735044,1.73462499625,0.1125,15.418888855555556,0
1121101,1178,144532,32,M,15,29945,1,1.590000033,3.3394556687259975e-05,1.590000033,2.0,0.7950000165,0
1314312,1178,179879,37,M,101,33534,2,2.960000038,5.964096141229796e-05,1.480000019,0.5,2.960000038,0
950079,936,123440,32,M,16,3142,0,0.0,0.0,0.0,0.0,0.0,0
776831,936,115569,47,M,16,107021,20,34.44000012,0.0001868792106222,1.722000006,0.05,34.44000012,0
1121768,1178,144651,32,F,19,565565,113,169.6699982,0.0001998001998001,1.5015044088495575,0.0619469026548672,24.23857117142857,1
1121935,1178,144679,37,F,22,66277,12,17.30000019,0.0001810582856797,1.4416666825,0.0833333333333333,17.30000019,1
1121250,1178,144565,32,M,63,287976,31,59.43999982,0.0001076478595438,1.917419349032258,0.0967741935483871,19.81333327333333,0
1121954,1178,144682,37,F,25,120335,26,36.2299993,0.0002160634894253,1.3934615115384617,0.0769230769230769,18.11499965,1
738389,936,109808,42,F,10,27081,9,10.77000046,0.0003323363243602,1.196666717777778,0.1111111111111111,10.77000046,1
1121309,1178,144575,37,M,18,131060,16,28.04999959,0.0001220814893941,1.753124974375,0.125,14.024999795,0
1121931,1178,144679,37,F,22,78468,15,23.64999962,0.00019116072794,1.5766666413333332,0.0666666666666666,23.64999962,1
1122044,1178,144697,42,F,10,233043,49,65.03000033,0.0002102616255369,1.3271428638775509,0.0408163265306122,32.515000165,1
781175,936,116341,42,F,15,5859,1,1.539999962,0.0001706775900324,1.539999962,1.0,1.539999962,1
1121769,1178,144652,32,F,20,253758,43,62.14000034,0.0001694527857249,1.4451162869767442,0.0930232558139534,15.535000085,1
1121395,1178,144589,37,M,32,392541,53,98.70000017,0.0001350177433694,1.8622641541509437,0.0566037735849056,32.90000005666666,0
709761,916,104085,42,M,16,2861,0,0.0,0.0,0.0,0.0,0.0,0
780064,936,116135,32,F,22,2554,0,0.0,0.0,0.0,0.0,0.0,1
747489,936,110882,42,M,2,4016,2,1.480000049,0.0004980079681274,0.7400000245,0.5,1.480000049,0
776687,936,115545,42,M,16,8022,0,0.0,0.0,0.0,0.0,0.0,0
778264,936,115822,42,F,27,8152,1,0.99000001,0.0001226692836113,0.99000001,1.0,0.99000001,1
779608,936,116059,37,F,15,2459,0,0.0,0.0,0.0,0.0,0.0,1
782658,936,116589,32,M,15,4827,0,0.0,0.0,0.0,0.0,0.0,0
1121773,1178,144652,32,F,20,319131,51,76.68000025,0.0001598089812647,1.5035294166666668,0.1176470588235294,12.780000041666668,1
951392,936,123659,32,F,28,2749,1,1.389999986,0.0003637686431429,1.389999986,1.0,1.389999986,1
782541,936,116569,42,F,28,7337,3,4.079999924,0.0004088864658579,1.3599999746666669,0.3333333333333333,4.079999924,1
1121944,1178,144681,37,F,24,109723,27,40.9600004,0.0002460742050436,1.517037051851852,0.037037037037037,40.9600004,1
1121685,1178,144638,47,M,31,66794,9,17.3299998,0.0001347426415546,1.9255555333333327,0.1111111111111111,17.3299998,0
1121282,1178,144570,32,M,7,185823,25,38.54999936,0.0001345366289425,1.5419999744,0.16,9.63749984,0
950495,936,123509,47,M,21,1909,1,0.980000019,0.000523834468308,0.980000019,1.0,0.980000019,0
1121467,1178,144601,42,M,19,42563,5,9.659999847,0.0001174729224913,1.9319999694,0.2,9.659999847,0
1121279,1178,144570,32,M,7,93891,11,17.6400001,0.0001171571290113,1.6036363727272729,0.4545454545454545,3.5280000200000003,0
734381,936,108683,37,M,20,2938,1,1.350000024,0.0003403675970047,1.350000024,1.0,1.350000024,0
782134,936,116501,32,F,16,37873,5,6.169999957,0.0001320201726823,1.2339999914,0.2,6.169999957,1
1121143,1178,144539,32,M,23,221695,31,52.26000011,0.0001398317508288,1.6858064551612904,0.1612903225806451,10.452000022,0
1122274,1178,144736,47,F,29,526923,138,198.0899972,0.0002618978484522,1.4354347623188406,0.0144927536231884,99.0449986,1
782815,936,116615,42,F,10,11537,3,4.300000191,0.0002600329375054,1.433333397,0.3333333333333333,4.300000191,1
776725,936,115552,42,M,23,2479,1,1.25999999,0.0004033884630899,1.25999999,1.0,1.25999999,0
1121780,1178,144653,32,F,21,119772,20,33.46999907,0.0001669839361453,1.6734999535,0.25,6.693999814,1
778471,936,115856,32,M,32,1273,0,0.0,0.0,0.0,0.0,0.0,0
1121421,1178,144594,37,M,2,233404,43,70.4100008,0.0001842299189388,1.6374418790697676,0.0465116279069767,35.2050004,0
776476,936,115510,32,M,16,43756,5,5.439999938,0.0001142700429655,1.0879999876,0.0,0.0,0
776603,936,115531,32,F,2,506,0,0.0,0.0,0.0,0.0,0.0,1
1121572,1178,144619,42,M,2,32574,5,7.480000019,0.0001534966537729,1.4960000038,0.2,7.480000019,0
1121415,1178,144593,37,M,65,113501,26,38.44000077,0.0002290728716046,1.478461568076923,0.1923076923076923,7.688000153999999,0
778161,936,115804,32,M,28,17954,6,7.5400002,0.0003341873677175,1.2566667,0.3333333333333333,3.7700001,0
1121753,1178,144649,32,F,16,740631,101,153.1199975,0.0001363702032456,1.5160395792079209,0.0891089108910891,17.013333055555556,1
1121741,1178,144647,32,F,10,318042,46,64.40999997,0.0001446349853164,1.400217390652174,0.1739130434782608,8.05124999625,1
1314348,1178,179915,47,M,107,121769,13,18.41999996,0.0001067595200748,1.4169230738461538,0.1538461538461538,9.20999998,0
776696,936,115547,32,M,10,7966,1,1.179999948,0.0001255335174491,1.179999948,1.0,1.179999948,0
1122131,1178,144712,42,F,30,93176,29,40.37000024,0.0003112389456512,1.3920689737931036,0.0344827586206896,40.37000024,1
1121102,1178,144532,32,M,15,357856,30,52.97000015,8.383260305821336e-05,1.7656666716666665,0.2333333333333333,7.567142878571427,0
734582,936,108716,42,M,29,7709,2,1.320000052,0.0002594370216629,0.660000026,1.0,0.660000026,0
735032,936,108791,37,F,32,498,0,0.0,0.0,0.0,0.0,0.0,1
950745,936,123551,32,M,29,1514,0,0.0,0.0,0.0,0.0,0.0,0
710088,916,104140,47,M,24,2283,1,1.470000029,0.0004380201489268,1.470000029,1.0,1.470000029,0
