Ad_ID,Company_Campaign_ID,FB_campaign_ID,Age,Gender,interest,Impressions,Clicks,Spent,Total_Conversion,Ctr,Cpc,Conversion_Rate,Cpa
747369,936,110862,37,M,16,13355,2,3.180000067,1,0.00014975664545114188,1.5900000335,0.5,3.180000067
747370,936,110862,37,M,16,2936,0,0.0,1,0.0,0.0,0.0,0.0
747401,936,110867,37,M,22,2793,1,0.980000019,1,0.00035803795202291446,0.980000019,1.0,0.980000019
747435,936,110873,37,M,28,1032,0,0.0,1,0.0,0.0,0.0,0.0
747439,936,110874,37,M,29,1662,0,0.0,1,0.0,0.0,0.0,0.0
747489,936,110882,42,M,2,4016,2,1.480000049,1,0.00049800796812749,0.7400000245,0.5,1.480000049
747514,936,110886,42,M,16,14843,3,2.939999938,1,0.0002021154753082261,0.9799999793333334,0.3333333333333333,2.939999938
747645,936,110908,47,M,10,9674,3,4.600000024,1,0.0003101095720487906,1.5333333413333332,0.3333333333333333,4.600000024
747659,936,110910,47,M,16,12186,2,2.669999957,1,0.00016412276382734285,1.3349999785,0.5,2.669999957
747675,936,110913,47,M,20,673,0,0.0,1,0.0,0.0,0.0,0.0
747678,936,110914,47,M,21,370,0,0.0,1,0.0,0.0,0.0,0.0
747712,936,110919,47,M,26,450,0,0.0,1,0.0,0.0,0.0,0.0
747790,936,110932,32,F,10,2077,0,0.0,1,0.0,0.0,0.0,0.0
747791,936,110932,32,F,10,31393,8,10.96000051,1,0.00025483388016436787,1.37000006375,0.125,10.96000051
747795,936,110933,32,F,15,8410,2,2.359999895,1,0.00023781212841854935,1.1799999475,0.5,2.359999895
747798,936,110934,32,F,16,25884,5,7.350000143,1,0.00019316952557564519,1.4700000286,0.2,7.350000143
747824,936,110938,32,F,21,608,0,0.0,1,0.0,0.0,0.0,0.0
747828,936,110939,32,F,22,28488,10,9.340000033,1,0.00035102499297950013,0.9340000033000001,0.1,9.340000033
747852,936,110943,32,F,26,10126,3,4.619999886,1,0.0002962670353545329,1.5399999619999998,0.3333333333333333,4.619999886
747859,936,110944,32,F,27,22572,5,8.5,1,0.00022151337940811626,1.7,0.2,8.5
747863,936,110944,32,F,27,1955,0,0.0,1,0.0,0.0,0.0,0.0
